Licensee Name,Removal Reason
PARADISE BEACH CLUB ASSOC,Association/HOA/Condo/Timeshare
TRADERS INN BCH CLUB ASSOC INC,Association/HOA/Condo/Timeshare
EMERALD VIEW ASSOCIATION MANAGEMENT LLC,Association/HOA/Condo/Timeshare
BERKSHIRE BY SEA CONDO ASN INC,Association/HOA/Condo/Timeshare
FOUR WINDS CONDOMINIUM ASSOC,Association/HOA/Condo/Timeshare
BEACH STREET COTTAGES VACATION CONDOMINIUM ASSOCIATION INC,Association/HOA/Condo/Timeshare
DOVER HOUSE CONDO ASSN,Association/HOA/Condo/Timeshare
MARINER OWNERS ASSOCIATION THE,Association/HOA/Condo/Timeshare
ESTERO ISLAND BEACH CLUB ASSOC,Association/HOA/Condo/Timeshare
ROYAL FLAMINGO VILLAS CONDO,Association/HOA/Condo/Timeshare
GULF GATE ASSOCIATION INC,Association/HOA/Condo/Timeshare
LAS OLAS BEACH CLUB ASSOC INC,Association/HOA/Condo/Timeshare
"BAREFOOT'N IN THE KEYS AT OLD TOWN CONDOMINIUM ASSOCIATION, INC.",Association/HOA/Condo/Timeshare
TROPICAL SANDS CONDO ASSOC INC,Association/HOA/Condo/Timeshare
BANYAN TREE OF KEY WEST CONDOMINIUM AND OWNERS ASSOCIATION INC,Association/HOA/Condo/Timeshare
SEA SPRAY OWNERS ASSOCIATION,Association/HOA/Condo/Timeshare
ENCHANTED ISLE CONDO ASSOC INC,Association/HOA/Condo/Timeshare
WINDJAMMER CONDO ASSOC OF LBS,Association/HOA/Condo/Timeshare
SUNRISE COVE CONDO ASSOC,Association/HOA/Condo/Timeshare
SEAGULL CONDO ASSOC INC,Association/HOA/Condo/Timeshare
BAHAMIAN CLUB OWNERS ASSOC,Association/HOA/Condo/Timeshare
OCEAN REEF VILLAS CONDOMINIUM ASSOCIATION INC,Association/HOA/Condo/Timeshare
CONDOMINIUM MASTER CORP. OF PARK PLACE INC,Association/HOA/Condo/Timeshare
COLONNADES CONDO ASSN SANIBEL,Association/HOA/Condo/Timeshare
NATIVE SUN CONDO ASSN INC,Association/HOA/Condo/Timeshare
POINTE S FT MYERS BCH CONDO,Association/HOA/Condo/Timeshare
RIVERBEND MOTORCOACH RESORT CONDOMINIUM ASSOCIATION INC,Association/HOA/Condo/Timeshare
GULF CREST CONDOMINIUM ASSOCIATION INC,Association/HOA/Condo/Timeshare
SOUTHEASTER CONDO ASSOC,Association/HOA/Condo/Timeshare
CHATEAU LA MER II CONDO OWNERS,Association/HOA/Condo/Timeshare
CONDO'S ON THIRTY-A,Association/HOA/Condo/Timeshare
LONGBOAT BEACHCOMBER CONDOMINIUM ASSOCIATION INC,Association/HOA/Condo/Timeshare
"COMMODORE OWNERS ASSOCIATION, INC.",Association/HOA/Condo/Timeshare
JUPITER REEF CLUB CONDOMINIUM OWNERS ASSOCIATION INC,Association/HOA/Condo/Timeshare
PIER POINT SOUTH CONDO,Association/HOA/Condo/Timeshare
CORAL REEF OWNERS ASSOC INC,Association/HOA/Condo/Timeshare
OCEAN TERRACE CONDOMINIUM ASSC,Association/HOA/Condo/Timeshare
BAY CLUB II VACATION CONDOMINIUM ASSOCIATION INC,Association/HOA/Condo/Timeshare
CANE PALM BEACH CONDO ASN INC,Association/HOA/Condo/Timeshare
HOLIDAY ISLE YACHT CLUB ASSOCIATION INC,Association/HOA/Condo/Timeshare
GROVE CONDOMINIUM ASSN,Association/HOA/Condo/Timeshare
SANDCASTLE BCH CLB CONDO ASSOC,Association/HOA/Condo/Timeshare
EASTWIND CONDO ASSOC,Association/HOA/Condo/Timeshare
INLET CONDOMINIUM INC,Association/HOA/Condo/Timeshare
ATLANTICA CONDOMINIUM RENTAL CORPORATION,Association/HOA/Condo/Timeshare
ROYAL BEACH CLUB CONDO ASSN,Association/HOA/Condo/Timeshare
